0.vasp,-1.6814
1.vasp,-1.6209
2.vasp,-1.6856
3.vasp,-1.6730
4.vasp,-1.8326
5.vasp,0.7686
6.vasp,0.8734
7.vasp,0.9258
8.vasp,0.8978
9.vasp,0.7799
11.vasp,0.8798
10.vasp,0.8665
12.vasp,0.8223
13.vasp,0.7771
14.vasp,0.6794
15.vasp,0.9159
16.vasp,0.7826
17.vasp,0.6707
18.vasp,0.5792
19.vasp,0.3267
20.vasp,0.5206
21.vasp,0.5182
22.vasp,0.4749
23.vasp,0.4061
24.vasp,0.2565
25.vasp,1.2241
26.vasp,1.1115
27.vasp,1.0208
28.vasp,0.9157
29.vasp,0.7081
30.vasp,0.9743
31.vasp,0.9194
32.vasp,0.8538
33.vasp,0.7953
34.vasp,0.6793
35.vasp,1.0386
36.vasp,1.0573
37.vasp,1.0281
38.vasp,0.9738
39.vasp,0.8580
40.vasp,0.9996
41.vasp,0.9763
42.vasp,0.9380
43.vasp,0.8890
44.vasp,0.7817
45.vasp,1.4291
46.vasp,1.4449
47.vasp,1.4909
48.vasp,1.5034
49.vasp,1.4404
51.vasp,1.4741
50.vasp,1.4893
52.vasp,1.4720
53.vasp,1.4548
54.vasp,1.4048
55.vasp,-2.8840
56.vasp,-2.8956
57.vasp,-2.8881
58.vasp,-2.8814
59.vasp,-2.9145
60.vasp,-2.7443
61.vasp,-2.7801
62.vasp,-2.8332
63.vasp,-2.8668
64.vasp,-2.9119
65.vasp,0.0860
66.vasp,0.0734
67.vasp,0.0390
68.vasp,-0.0717
69.vasp,-0.4779
70.vasp,-0.0345
71.vasp,-0.0994
72.vasp,-0.2148
73.vasp,-0.3840
74.vasp,-0.5268
75.vasp,0.7997
76.vasp,0.5613
77.vasp,0.3666
78.vasp,0.3027
79.vasp,0.1742
80.vasp,0.2486
81.vasp,0.2512
82.vasp,0.2265
83.vasp,0.1795
84.vasp,0.0709
85.vasp,1.1266
86.vasp,0.9680
87.vasp,0.7841
88.vasp,0.6938
89.vasp,0.5800
91.vasp,0.5458
90.vasp,0.5780
92.vasp,0.5844
93.vasp,0.5460
94.vasp,0.4407
95.vasp,1.0760
96.vasp,0.9439
97.vasp,0.8237
98.vasp,0.7692
99.vasp,0.6034
101.vasp,0.7673
100.vasp,0.7572
102.vasp,0.7001
103.vasp,0.6409
104.vasp,0.5421
106.vasp,-0.2741
105.vasp,-0.3692
107.vasp,-0.4521
108.vasp,-0.4827
109.vasp,-0.4909
110.vasp,-0.3454
111.vasp,-0.4164
112.vasp,-0.4667
113.vasp,-0.4888
114.vasp,-0.4904
115.vasp,-4.1847
116.vasp,-4.1702
117.vasp,-4.1611
118.vasp,-4.1669
119.vasp,-4.2546
120.vasp,-4.2051
121.vasp,-4.1928
122.vasp,-4.1694
123.vasp,-4.1143
124.vasp,-4.1082
125.vasp,1.4531
126.vasp,1.5775
127.vasp,1.4241
128.vasp,1.2382
129.vasp,1.0737
130.vasp,1.0931
131.vasp,1.1286
132.vasp,1.1295
133.vasp,1.0976
134.vasp,1.0418
135.vasp,0.7908
136.vasp,0.9023
137.vasp,0.9609
138.vasp,0.9351
139.vasp,0.8374
141.vasp,0.9299
140.vasp,0.9228
142.vasp,0.8810
143.vasp,0.8392
144.vasp,0.7358
145.vasp,0.6009
146.vasp,0.5694
147.vasp,0.5726
148.vasp,0.5957
149.vasp,0.5862
150.vasp,0.1253
151.vasp,0.2424
152.vasp,0.3855
153.vasp,0.4807
154.vasp,0.5155
155.vasp,-3.4487
156.vasp,-3.4880
157.vasp,-3.5872
158.vasp,-3.6131
159.vasp,-3.5124
160.vasp,-3.2842
161.vasp,-3.2501
162.vasp,-3.3294
163.vasp,-3.3870
164.vasp,-3.4538
165.vasp,0.6457
166.vasp,0.5994
167.vasp,0.4521
168.vasp,0.2648
169.vasp,0.0594
170.vasp,0.1468
171.vasp,0.0782
172.vasp,0.0319
173.vasp,0.0277
174.vasp,0.0389
175.vasp,0.8775
176.vasp,1.1122
177.vasp,1.2999
178.vasp,1.3500
179.vasp,1.2571
180.vasp,1.2298
181.vasp,1.3056
182.vasp,1.3069
183.vasp,1.2427
184.vasp,1.1103
185.vasp,1.3744
186.vasp,1.3396
187.vasp,1.2651
188.vasp,1.1317
189.vasp,0.7060
190.vasp,0.9410
191.vasp,0.8383
192.vasp,0.7135
193.vasp,0.6201
194.vasp,0.5280
195.vasp,-0.4608
196.vasp,-0.3089
197.vasp,-0.2980
198.vasp,-0.3623
199.vasp,-0.4370
200.vasp,-0.1149
201.vasp,-0.1306
202.vasp,-0.1862
203.vasp,-0.3118
204.vasp,-0.4268
205.vasp,1.1878
206.vasp,1.1515
207.vasp,1.0666
208.vasp,0.9774
209.vasp,0.8128
210.vasp,1.0748
211.vasp,1.0527
212.vasp,0.9801
213.vasp,0.8922
214.vasp,0.7707
215.vasp,1.1854
216.vasp,1.1645
217.vasp,1.0896
218.vasp,1.0028
219.vasp,0.8365
220.vasp,0.1916
221.vasp,0.4783
222.vasp,0.7763
223.vasp,0.9267
224.vasp,0.6985
225.vasp,0.8376
226.vasp,0.9160
227.vasp,1.0198
228.vasp,1.0469
229.vasp,0.7404
230.vasp,-1.7602
231.vasp,-1.7255
232.vasp,-1.7163
233.vasp,-1.7619
234.vasp,-1.8681
235.vasp,0.9028
236.vasp,0.8726
237.vasp,0.7960
238.vasp,0.7336
239.vasp,0.6303
240.vasp,1.0314
241.vasp,0.9690
242.vasp,0.8729
243.vasp,0.7966
244.vasp,0.6303
245.vasp,1.0230
246.vasp,0.9727
247.vasp,0.8737
248.vasp,0.8062
249.vasp,0.6384
250.vasp,-0.1904
251.vasp,-0.1903
252.vasp,-0.2196
253.vasp,-0.2605
254.vasp,-0.3524
255.vasp,-0.0866
256.vasp,-0.1305
257.vasp,-0.1832
258.vasp,-0.2243
259.vasp,-0.2949
260.vasp,-0.0421
261.vasp,-0.0041
262.vasp,0.0034
263.vasp,-0.0250
264.vasp,-0.1511
265.vasp,0.2132
266.vasp,0.1848
267.vasp,0.1419
268.vasp,0.0621
269.vasp,-0.0986
270.vasp,-0.2031
271.vasp,-0.2269
272.vasp,-0.3477
273.vasp,-0.4611
274.vasp,-0.6019
275.vasp,-0.5076
276.vasp,-0.4879
277.vasp,-0.5135
278.vasp,-0.5592
279.vasp,-0.6495
280.vasp,-0.0814
281.vasp,-0.2020
282.vasp,-0.3656
283.vasp,-0.5163
284.vasp,-0.6145
285.vasp,0.4237
286.vasp,0.3923
287.vasp,0.3287
288.vasp,0.2643
289.vasp,0.1800
290.vasp,0.4524
291.vasp,0.4004
292.vasp,0.3306
293.vasp,0.2569
294.vasp,0.1555
295.vasp,0.3501
296.vasp,0.3297
297.vasp,0.2854
298.vasp,0.2343
299.vasp,0.1560
300.vasp,1.0787
301.vasp,1.0288
302.vasp,0.9427
303.vasp,0.8533
304.vasp,0.7187
305.vasp,1.1040
306.vasp,1.0331
307.vasp,0.9393
308.vasp,0.8543
309.vasp,0.7247
310.vasp,0.9641
311.vasp,0.9421
312.vasp,0.8876
313.vasp,0.8058
314.vasp,0.7022
315.vasp,1.2249
316.vasp,1.1590
317.vasp,1.0691
318.vasp,0.9779
319.vasp,0.8206
320.vasp,0.9564
321.vasp,0.9661
322.vasp,0.9552
323.vasp,0.9254
324.vasp,0.8057
325.vasp,0.8863
326.vasp,0.9195
327.vasp,0.9448
328.vasp,0.9279
329.vasp,0.8103
330.vasp,0.5401
331.vasp,0.5166
332.vasp,0.4549
333.vasp,0.3483
334.vasp,-0.1253
335.vasp,0.3264
336.vasp,0.2758
337.vasp,0.1566
338.vasp,-0.0456
339.vasp,-0.2315
340.vasp,0.5102
341.vasp,0.4765
342.vasp,0.4009
343.vasp,0.2530
344.vasp,-0.2113
345.vasp,-0.7718
346.vasp,-0.6411
